Reference,Value,Qty
"C1,C4",100uF,2
"C2,C6,C7,C11",100nF,4
"C3,C5",47uF,2
C8,150nF,1
C9,47pF,1
C10,220pF,1
"C12,C20,C21",47nF,3
C13,1nF,1
"C14,C22",2.2nF,2
"C15,C25,C26",1uF,3
C16,100pF,1
"C17,C18,C19",10nF,3
"C23,C24",56nF,2
"D1,D2,D3,D6",1N4148,4
"D4,D5,D7",LED,3
J1,+9v,1
J2,In,1
J4,Out,1
Q1,BC547B,1
Q9,BC547,1
"R1,R9,R17",2K2,3
"R2,R3,R4,R21",10K,4
"R5,R13,R14",1M,3
R6,220K,1
R7,22k,1
R8,22K,1
"R10,R28",100K,2
R11,330K,1
R12,15K,1
R15,4K7,1
R16,33K,1
R18,5K6,1
"R19,R22",470K,2
R20,6K8,1
R23,3K6,1
R30,1K,1
RV1,B100K,1
RV3,10KB,1
RV4,100KA,1
U1,TL072,1
U2,TL074,1
