"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C5,C6","1uF","~","-- mixed values --","4",""
"C3","10nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C4","47nF","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"D1,D2","1N34A","~","Diode_THT:D_DO-34_SOD68_P7.62mm_Horizontal","2",""
"J1","In","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J2","Out","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"J3","+9v","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Horizontal","1",""
"R1,R2,R4,R6,RV1","1M","~","-- mixed values --","5",""
"R3,R7,RV2","10K","~","-- mixed values --","3",""
"R5","4K7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"U1","LM741","http://www.ti.com/lit/ds/symlink/lm741.pdf","Package_DIP:DIP-8_W7.62mm","1",""
